universidad,tipo_gestion,es_publico,es_licenciada,es_universidad,doc_total,mat_total,egr_total,n_renacyt,score_mat,score_egr,score_concytec,pct_doctorado,pct_maestria,pct_renacyt_doc,pct_exclusiva,pct_tc,pct_contratado,pct_ordinario,edad_media_doc,pct_fem_doc,pct_fem_mat,pct_discap,pct_posgrado,edad_media_mat,n_departamentos,nota_prom_egr,creditos_prom_egr,pct_posgrado_egr,puntaje_medio,nivel_medio,pct_prod_rec,antiguedad_med,n_areas_ocde,pct_fem_renacyt,ratio_mat_doc,ratio_egr_mat
Universidad Privada San Juan Bautista S.A.C.,Privado,0,1,1,1373,24145,3482.0,3.0,100,100,100,0.0,4.95,1.68,0.0,26.15,89.73,6.12,49.36,39.91,60.55,0.27,3.7,23.72,2,15.547,185.9,16.8,60.333333333333336,3.333333333333333,66.66666666666666,2.954140999315537,2.0,0.0,17.6,14.42
Universidad Nacional de Cañete,Público,1,1,1,88,2144,292.0,8.0,100,100,100,4.55,19.32,0.0,5.68,51.14,30.68,56.82,51.07,31.82,44.68,0.93,9.28,23.49,1,16.433,169.2,31.85,21.0,1.375,62.5,1.44113620807666,3.0,25.0,24.4,13.62
Universidad Nacional Tecnológica de Lima Sur,Público,1,1,1,142,2317,201.0,46.0,100,100,95,0.0,0.0,3.52,0.7,62.68,22.54,77.46,51.43,19.72,25.12,0.47,3.5,23.35,1,14.165,217.0,0.0,55.54347826086956,3.0434782608695654,45.65217391304348,4.221587358271583,5.0,15.217391304347828,16.3,8.68
Universidad Nacional Santiago Antúnez de Mayolo,Público,1,1,1,570,8242,10906.0,46.0,100,86,100,0.88,10.53,2.46,19.12,59.65,12.81,81.58,54.33,29.82,42.83,0.41,8.15,23.53,1,16.104,129.4,37.02,37.42391304347826,2.4782608695652173,56.52173913043478,3.242686664881112,5.0,32.608695652173914,14.5,132.32
Universidad de Ingeniería y Tecnología,Privado,0,1,1,226,4666,298.0,6.0,100,100,100,0.0,12.83,5.31,0.0,11.95,88.05,6.64,42.62,17.26,28.08,0.19,5.53,22.06,1,14.98,198.4,3.69,81.08333333333333,4.166666666666667,66.66666666666666,3.930641113392653,4.0,50.0,20.6,6.39
Universidad Peruana de Ciencias Aplicadas S.A.C.,Privado,0,1,1,1156,81014,2311.0,12.0,100,100,100,0.0,7.79,1.9,0.0,17.3,92.65,2.25,45.68,37.54,47.58,0.21,4.02,23.39,1,16.041,163.4,24.58,37.91666666666666,2.583333333333333,50.0,2.858772530230436,5.0,50.0,70.1,2.85
Universidad Privada Norbert Wiener S.A.,Privado,0,1,1,1147,24075,2964.0,6.0,100,100,100,0.0,3.4,1.83,0.0,24.5,87.97,7.5,48.47,46.12,70.63,0.25,4.06,27.46,1,15.819,129.3,9.11,98.0,3.6666666666666665,50.0,3.477983116586813,3.0,50.0,21.0,12.31
Facultad de Teología Pontificia y Civil de Lima,Privado,0,1,1,45,324,81.0,3.0,100,100,86,0.0,26.67,2.22,4.44,24.44,60.0,40.0,52.47,26.67,52.16,0.93,36.42,40.38,1,16.86,51.5,70.37,13.666666666666666,1.0,0.0,3.123887748117728,1.0,66.66666666666666,7.2,25.0
Universidad Nacional de Moquegua,Público,1,1,1,309,3267,307.0,4.0,100,100,100,0.0,4.53,3.24,2.27,24.6,69.58,29.13,48.58,31.72,44.02,1.01,4.07,22.49,1,13.448,218.7,0.0,71.0,3.5,100.0,3.023956194387406,2.0,25.0,10.6,9.4
Universidad Nacional Daniel Alcides Carrión,Público,1,1,1,214,7269,10906.0,71.0,100,86,100,0.0,8.88,0.93,17.29,18.69,64.02,35.98,50.31,31.78,51.33,1.02,6.01,22.7,2,16.104,129.4,37.02,24.38732394366197,1.6056338028169015,57.74647887323944,2.1156259941579663,7.0,32.3943661971831,34.0,150.03
Universidad Nacional de San Agustín de Arequipa,Público,1,1,1,1406,25898,334.0,18.0,100,100,100,0.0,0.0,3.2,29.59,39.4,2.99,88.19,57.55,33.93,47.72,0.47,0.0,22.38,1,14.338,230.0,0.0,47.97222222222222,2.9444444444444446,66.66666666666666,4.3890790174157726,6.0,38.88888888888889,18.4,1.29
Universidad Nacional de Jaén,Público,1,1,1,8,2179,170.0,3.0,100,100,100,0.0,100.0,0.0,12.5,62.5,0.0,25.0,50.38,12.5,37.63,1.33,1.01,22.29,1,13.45,203.5,6.47,37.333333333333336,3.0,66.66666666666666,3.648642482318047,2.0,33.33333333333333,272.4,7.8
Universidad Peruana Los Andes,Privado,0,1,1,330,18502,2438.0,12.0,100,100,100,0.91,3.64,0.3,8.79,23.33,76.06,18.18,49.33,40.0,58.53,0.33,2.03,24.18,1,14.745,206.1,11.65,27.875,1.9166666666666667,75.0,2.026922199406799,4.0,41.66666666666667,56.1,13.18
Universidad Le Cordon Bleu S.A.C.,Privado,0,1,1,66,1056,109.0,7.0,100,100,100,0.0,9.09,1.52,0.0,24.24,56.06,33.33,51.23,30.3,42.8,0.19,0.66,21.97,1,15.76,200.2,0.0,48.07142857142857,3.2857142857142856,57.14285714285714,4.514715947980835,4.0,14.285714285714285,16.0,10.32
Asociación Civil Universidad de Ciencias y Humanidades,Privado,0,1,1,47,6078,227.0,31.0,100,100,95,0.0,6.38,4.26,0.0,42.55,93.62,6.38,44.6,40.43,71.85,0.16,3.09,26.37,1,15.83,174.8,18.5,46.7258064516129,2.4516129032258065,51.61290322580645,3.403590117241836,4.0,32.25806451612903,129.3,3.73
Universidad Privada de Tacna,Privado,0,1,1,640,8032,227.0,45.0,100,100,100,0.47,11.72,1.72,0.0,18.91,84.84,7.5,50.2,37.81,51.23,0.29,7.92,23.58,1,16.135,50.8,100.0,31.18888888888889,2.111111111111111,64.44444444444444,2.16290212183436,7.0,42.22222222222222,12.6,2.83
Universidad de San Martín de Porres,Privado,0,1,1,2143,30657,1071.0,3.0,100,86,100,2.01,9.61,2.19,0.05,21.51,92.11,2.99,51.53,34.25,58.51,0.21,8.83,24.11,3,14.873,128.0,53.22,32.0,2.333333333333333,0.0,5.0851015286333565,2.0,33.33333333333333,14.3,3.49
Universidad Nacional de Piura,Público,1,1,1,289,12542,242.0,6.0,100,100,100,0.0,0.0,0.35,36.33,39.79,18.69,80.97,59.67,19.03,44.58,0.65,0.0,21.54,1,12.812,227.4,0.0,20.33333333333333,1.3333333333333333,66.66666666666666,1.5217887291809262,4.0,16.666666666666664,43.4,1.93
Universidad Nacional de San Martín,Público,1,1,1,389,6684,453.0,28.0,100,100,100,0.0,0.0,1.03,19.02,52.7,22.62,73.26,56.38,32.39,48.7,0.43,0.0,21.59,1,14.454,236.9,0.0,36.10714285714285,2.4285714285714284,67.85714285714286,3.05534369805417,6.0,32.142857142857146,17.2,6.78
Universidad Nacional Autónoma de Chota,Público,1,1,1,46,946,84.0,30.0,94,94,100,0.0,0.0,4.35,0.0,86.96,8.7,91.3,48.35,23.91,47.04,1.69,0.0,22.44,1,14.433,216.6,0.0,36.9,2.3666666666666667,50.0,3.291444216290212,6.0,23.33333333333333,20.6,8.88
Universidad Nacional José Faustino Sánchez Carrión,Público,1,1,1,348,12385,788.0,98.0,100,100,100,0.0,0.0,0.86,24.43,23.56,34.48,65.23,58.79,31.03,49.1,0.57,0.0,22.42,1,14.583,230.0,0.0,32.15816326530612,2.173469387755102,66.3265306122449,2.455572783528196,6.0,29.59183673469388,35.6,6.36
Universidad Nacional Intercultural de la Selva Central Juan Santos Atahualpa,Público,1,1,1,83,1334,10906.0,21.0,100,86,100,0.0,0.0,2.41,0.0,24.1,74.7,25.3,46.11,24.1,47.6,0.6,0.0,22.51,1,16.104,129.4,37.02,37.69047619047619,2.4285714285714284,80.95238095238095,2.983996610279978,4.0,14.285714285714285,16.1,817.54
Universidad Nacional Autónoma de Huanta,Público,1,1,1,49,946,84.0,4.0,100,100,100,0.0,0.0,2.04,0.0,48.98,46.94,36.73,50.22,24.49,47.04,1.69,0.0,22.44,1,14.433,216.6,0.0,18.75,1.25,75.0,0.9972621492128678,2.0,50.0,19.3,8.88
Universidad María Auxiliadora S.A.C.,Privado,0,1,1,100,4587,355.0,8.0,100,100,100,0.0,10.0,0.0,0.0,33.0,96.0,4.0,48.0,51.0,76.83,0.13,1.31,32.8,1,16.007,126.4,7.04,34.375,2.25,50.0,3.746064339493498,3.0,37.5,45.9,7.74
Universidad Peruana Unión,Privado,0,1,1,751,16604,2476.0,6.0,100,100,100,0.27,2.26,0.67,4.39,35.15,89.48,10.25,43.55,42.34,57.88,0.37,6.28,24.39,3,16.328,111.5,10.22,77.83333333333333,3.6666666666666665,66.66666666666666,3.070499657768652,2.0,33.33333333333333,22.1,14.91
Universidad Nacional de Huancavelica,Público,1,1,1,192,7574,63.0,8.0,100,87,100,0.0,0.0,1.04,53.12,21.88,25.0,75.0,52.65,26.04,49.49,0.87,21.14,27.7,1,12.787,219.1,0.0,45.5,3.0,62.5,3.488021902806297,5.0,25.0,39.4,0.83
Universidad Andina Néstor Cáceres Velásquez,Privado,0,1,1,50,431,10906.0,3.0,100,86,100,0.0,0.0,0.0,24.0,54.0,0.0,100.0,58.98,14.0,42.69,0.0,0.0,31.62,1,16.104,129.4,37.02,21.166666666666668,1.3333333333333333,66.66666666666666,1.645448323066393,2.0,0.0,8.6,2530.39
Universidad Nacional Pedro Ruiz Gallo,Público,1,1,1,176,7015,339.0,4.0,100,100,100,0.0,0.0,1.7,19.32,18.18,59.09,36.93,53.24,30.11,38.75,0.66,4.11,22.28,1,12.898,217.7,0.0,13.75,1.0,75.0,0.8658453114305271,3.0,75.0,39.9,4.83
Universidad Alas Peruanas S.A.,Privado,0,1,1,24,576,320.0,6.0,100,100,100,0.0,0.0,0.0,0.0,0.0,100.0,0.0,50.42,41.67,48.78,0.69,0.0,35.29,17,12.936,240.0,0.0,30.75,2.1666666666666665,66.66666666666666,2.673511293634497,4.0,33.33333333333333,24.0,55.56
Universidad Peruana Cayetano Heredia,Privado,0,1,1,1490,12763,401.0,10.0,100,100,100,1.54,10.34,9.26,0.0,20.07,70.0,30.0,48.46,46.17,67.39,0.37,11.53,24.34,1,15.367,215.7,0.0,52.05,3.0,30.0,3.411088295687885,4.0,40.0,8.6,3.14
Universidad Jaime Bausate y Meza,Privado,0,1,1,104,1040,92.0,4.0,100,100,86,2.88,21.15,0.96,0.96,16.35,90.38,8.65,52.27,32.69,42.88,0.38,9.9,28.77,1,15.002,259.1,35.87,42.25,3.0,75.0,3.784394250513347,2.0,50.0,10.0,8.85
Universidad Nacional de San Cristóbal de Huamanga,Público,1,1,1,282,12169,10906.0,4.0,100,86,100,0.0,0.0,1.77,21.63,23.05,50.35,49.65,51.02,35.82,42.79,0.54,0.0,24.55,2,16.104,129.4,37.02,20.25,1.5,75.0,0.647501711156742,3.0,0.0,43.2,89.62
Universidad Nacional Mayor de San Marcos,Público,1,1,1,3527,43961,1301.0,10.0,100,100,100,1.76,8.25,9.44,14.29,39.35,1.11,98.89,59.78,29.88,45.39,0.61,17.09,25.4,1,15.504,148.0,51.5,35.7,2.0,50.0,2.9659137577002053,5.0,20.0,12.5,2.96
Universidad Nacional de la Amazonía Peruana,Público,1,1,1,718,12282,259.0,8.0,100,100,100,0.0,0.0,2.51,32.73,25.91,33.84,60.86,56.06,31.62,47.58,0.66,4.91,24.27,1,13.656,228.1,0.0,39.5625,2.0,75.0,1.217659137577002,4.0,12.5,17.1,2.11
Universidad Científica del Perú,Privado,0,1,1,64,314,49.0,10.0,100,100,100,0.0,0.0,0.0,4.69,40.62,67.19,32.81,57.7,28.12,62.42,0.32,0.0,29.94,1,13.757,216.2,0.0,32.4,2.1,30.0,3.908008213552361,4.0,30.0,4.9,15.61
Universidad de Ciencias y Artes de América Latina S.A.C.,Privado,0,1,1,186,2706,96.0,3.0,100,100,95,0.0,15.05,0.0,0.0,25.81,83.33,10.22,45.54,38.71,64.45,0.33,2.4,22.29,1,15.123,209.7,0.0,13.0,1.0,33.33333333333333,2.7250741501254847,2.0,33.33333333333333,14.5,3.55
Universidad Nacional del Centro del Perú,Público,1,1,1,719,11096,879.0,147.0,100,100,100,0.0,0.0,3.06,32.82,47.57,16.97,81.78,57.26,25.73,46.72,0.43,0.0,21.67,1,14.365,218.9,0.0,34.18707482993197,2.292517006802721,52.38095238095239,3.3239184790959504,6.0,30.612244897959183,15.4,7.92
Escuela de Posgrado Newman S.A.C.,Privado,0,1,0,89,2404,1495.0,31.0,100,86,100,0.0,100.0,1.12,0.0,31.46,83.15,16.85,44.16,42.7,43.47,0.21,100.0,40.34,1,15.848,218.0,4.01,67.40322580645162,2.870967741935484,51.61290322580645,3.2822415049347557,6.0,38.70967741935484,27.0,62.19
Universidad San Ignacio de Loyola S.R.L.,Privado,0,1,1,615,22001,2606.0,6.0,100,100,100,2.76,12.2,1.63,0.0,16.75,86.34,0.49,45.39,36.1,51.15,0.23,9.26,25.92,1,15.832,195.0,7.6,373.5833333333333,4.833333333333333,66.66666666666666,3.770020533880904,4.0,16.666666666666664,35.8,11.84
"Escuela Nacional Superior de Arte Dramático ""Guillermo Ugarte Chamorro""",Público,1,0,0,21,501,6.0,6.0,100,100,86,0.0,0.0,0.0,0.0,4.76,0.0,4.76,45.1,42.86,65.87,0.2,0.0,25.8,1,14.167,220.0,0.0,25.83333333333333,1.8333333333333333,66.66666666666666,1.9776408852384213,2.0,33.33333333333333,23.9,1.2
Escuela Nacional Superior de Folklore José María Arguedas,Público,1,0,0,70,960,124.0,3.0,100,100,86,0.0,0.0,0.0,0.0,0.0,60.0,0.0,51.86,32.86,44.69,0.52,0.0,30.0,1,15.066,159.5,0.0,20.166666666666668,1.3333333333333333,66.66666666666666,3.139402235911476,1.0,33.33333333333333,13.7,12.92
Escuela Superior de Guerra Naval,Público,1,0,0,33,109,3056.0,3.0,100,86,86,0.0,100.0,0.0,0.0,0.0,0.0,0.0,61.97,0.0,4.59,0.0,100.0,39.06,1,14.365,206.7,6.38,36.0,2.333333333333333,33.33333333333333,4.353182751540041,2.0,0.0,3.3,2803.67
Conservatorio Regional de Música Luis Duncker Lavalle,Público,1,0,0,7,167,3.0,3.0,100,100,86,0.0,0.0,0.0,0.0,0.0,71.43,0.0,52.0,14.29,26.95,2.99,0.0,23.84,1,17.107,220.0,0.0,13.666666666666666,1.0,0.0,3.123887748117728,1.0,66.66666666666666,23.9,1.8
Instituto Superior de Música Público Daniel Alomía Robles de Huánuco,Público,1,0,0,11,53,16.0,31.0,100,100,86,0.0,0.0,0.0,0.0,0.0,72.73,0.0,41.09,0.0,11.32,1.89,0.0,28.23,1,14.236,220.0,0.0,46.7258064516129,2.4516129032258065,51.61290322580645,3.403590117241836,4.0,32.25806451612903,4.8,30.19
Escuela Superior de Formación Artística Sérvulo Gutiérrez Alarcón de Ica,Público,1,0,0,5,185,453.0,29.0,100,86,86,0.0,0.0,0.0,0.0,0.0,40.0,0.0,58.2,0.0,65.41,3.24,0.0,26.65,1,14.454,236.9,0.0,21.379310344827587,1.4482758620689655,31.03448275862069,2.4128018126460384,3.0,41.37931034482759,37.0,244.86
Escuela Superior de Música Pública José María Valle Riestra de Piura,Público,1,0,0,4,291,28.0,31.0,100,100,86,0.0,0.0,0.0,0.0,75.0,25.0,75.0,52.5,0.0,21.65,2.06,0.0,23.88,1,15.042,210.9,0.0,46.7258064516129,2.4516129032258065,51.61290322580645,3.403590117241836,4.0,32.25806451612903,72.8,9.62
Escuela Nacional Superior de Ballet,Público,1,0,0,12,65,3056.0,3.0,100,86,86,0.0,0.0,0.0,0.0,100.0,0.0,0.0,54.67,50.0,49.23,0.0,0.0,21.43,1,14.365,206.7,6.38,36.0,2.333333333333333,33.33333333333333,4.353182751540041,2.0,0.0,5.4,4701.54
"Escuela Superior de Arte Dramático ""Virgilio Rodríguez Nache""",Público,1,0,0,3,207,453.0,3.0,100,86,86,0.0,0.0,0.0,0.0,0.0,66.67,0.0,48.0,0.0,55.56,1.45,0.0,24.1,1,14.454,236.9,0.0,13.666666666666666,1.0,0.0,3.123887748117728,1.0,66.66666666666666,69.0,218.84
Escuela Superior de Formación Artística Pública Mario Urteaga Alvarado de Cajamarca,Público,1,0,0,1,423,36.0,29.0,100,100,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,33.1,1.89,0.0,25.32,1,14.32,215.4,0.0,21.379310344827587,1.4482758620689655,31.03448275862069,2.4128018126460384,3.0,41.37931034482759,423.0,8.51
Escuela Superior de Arte Pública Ignacio Merino de Piura,Público,1,0,0,3,442,101.0,3.0,100,100,86,0.0,0.0,0.0,0.0,0.0,33.33,0.0,61.33,33.33,51.81,1.13,0.0,25.25,1,15.463,227.4,0.0,13.666666666666666,1.0,0.0,3.123887748117728,1.0,66.66666666666666,147.3,22.85
Instituto Superior de Música Público Leandro Alviña Miranda del Cusco,Público,1,0,0,39,194,2.0,29.0,100,100,86,0.0,0.0,0.0,0.0,0.0,76.92,0.0,46.69,23.08,27.84,2.58,0.0,24.97,1,14.97,213.0,0.0,21.379310344827587,1.4482758620689655,31.03448275862069,2.4128018126460384,3.0,41.37931034482759,5.0,1.03
