universidad,departamento_principal,todos_departamentos,n_sedes
Universidad de Lima,Lima,Lima,1
Universidad Tecnológica del Perú S.A.C.,Lima,"Arequipa,Ica,Junín,La Libertad,Lambayeque,Lima,Loreto,Piura,Áncash",9
Universidad del Pacífico,Lima,Lima,1
Universidad de Piura,Piura,"Lima,Piura",2
Universidad Peruana de Ciencias Aplicadas S.A.C.,Lima,Lima,1
Universidad Peruana Unión,Puno,"Lima,Puno,San Martín",3
Universidad Autónoma del Perú S.A.C.,Lima,Lima,1
"Escuela Nacional de Marina Mercante ""Almirante Miguel Grau""",Callao,Callao,1
Universidad Andina del Cusco,Cusco,"Cusco,Madre de Dios",2
Universidad Nacional Agraria La Molina,Lima,Lima,1
Universidad San Ignacio de Loyola S.R.L.,Lima,Lima,1
Universidad Nacional José Faustino Sánchez Carrión,Lima,Lima,1
Universidad Privada San Carlos S.A.C.,Puno,Puno,1
Universidad de San Martín de Porres,Lima,"Arequipa,Lambayeque,Lima",3
Universidad Científica del Perú,Loreto,Loreto,1
Universidad de Ingeniería y Tecnología,Lima,Lima,1
Escuela Nacional Superior de Folklore José María Arguedas,Lima,Lima,1
Pontificia Universidad Católica del Perú,Lima,Lima,1
Universidad Privada de Tacna,Tacna,Tacna,1
Escuela Nacional Superior de Ballet,Lima,Lima,1
Universidad Le Cordon Bleu S.A.C.,Lima,Lima,1
Universidad Privada Antenor Orrego,La Libertad,"La Libertad,Piura",2
Universidad Nacional de la Amazonía Peruana,Loreto,Loreto,1
Facultad de Teología Pontificia y Civil de Lima,Lima,Lima,1
Conservatorio Regional de Música Luis Duncker Lavalle,Arequipa,Arequipa,1
Conservatorio Nacional de Música,Lima,Lima,1
Universidad Nacional de Trujillo,La Libertad,La Libertad,1
Escuela Superior de Formación Artística Pública Mario Urteaga Alvarado de Cajamarca,Cajamarca,Cajamarca,1
Universidad Nacional Mayor de San Marcos,Lima,Lima,1
Universidad Ricardo Palma,Lima,Lima,1
"Escuela Superior de Formación Artística Pública ""Condorcunca de Ayacucho""",Ayacucho,Ayacucho,1
Universidad Nacional de San Antonio Abad del Cusco,Cusco,"Apurímac,Cusco,Madre de Dios",3
Universidad Nacional de Jaén,Cajamarca,Cajamarca,1
Universidad Inca Garcilaso de la Vega Asociación Civil,Lima,Lima,1
Universidad Católica Santo Toribio de Mogrovejo,Lambayeque,Lambayeque,1
Universidad de Huánuco,Huánuco,Huánuco,1
Universidad Católica de Santa María,Arequipa,Arequipa,1
Universidad ESAN,Lima,Lima,1
Escuela de Oficiales de la Policía Nacional del Perú,Lima,Lima,1
"Escuela Superior de Formación Artística Pública ""Felipe Guamán Poma de Ayala de Ayacucho""",Ayacucho,Ayacucho,1
Universidad Nacional Hermilio Valdizán de Huánuco,Huánuco,Huánuco,1
Universidad Antonio Ruiz de Montoya,Lima,Lima,1
Instituto Científico y Tecnológico del Ejército,Lima,Lima,1
Escuela Superior de Formación Artística Pública de Puno (ESFAP-PUNO),Puno,Puno,1
Centro de Altos Estudios Nacionales - CAEN,Lima,Lima,1
Universidad Católica San Pablo,Arequipa,Arequipa,1
Universidad Femenina del Sagrado Corazón,Lima,Lima,1
Universidad Nacional de Moquegua,Moquegua,Moquegua,1
Universidad Católica de Trujillo Benedicto XVI,La Libertad,La Libertad,1
Universidad Continental S.A.C.,Junín,"Arequipa,Cusco,Junín,Lima",4
Universidad Nacional del Altiplano,Puno,Puno,1
Escuela Nacional de Control,Lima,Lima,1
Universidad Privada de Huancayo Franklin Roosevelt S.A.C.,Junín,Junín,1
Universidad Nacional del Callao,Callao,Callao,1
Instituto Superior de Música Público Leandro Alviña Miranda del Cusco,Cusco,Cusco,1
Universidad Católica Sedes Sapientiae,Lima,"Junín,Lima,Piura,San Martín,Ucayali",5
Universidad Peruana Los Andes,Junín,Junín,1
Asociación Civil Universidad de Ciencias y Humanidades,Lima,Lima,1
Universidad Privada San Juan Bautista S.A.C.,Ica,"Ica,Lima",2
Universidad Nacional de Piura,Piura,Piura,1
Universidad Nacional del Centro del Perú,Junín,Junín,1
Universidad Privada Norbert Wiener S.A.,Lima,Lima,1
Universidad Nacional Agraria de la Selva,Huánuco,Huánuco,1
Escuela Superior de Arte Pública Ignacio Merino de Piura,Piura,Piura,1
Universidad de Ciencias y Artes de América Latina S.A.C.,Lima,Lima,1
Universidad César Vallejo S.A.C.,Lima,"Callao,La Libertad,Lambayeque,Lima,Piura,San Martín,Áncash",7
Universidad Nacional de San Martín,San Martín,San Martín,1
Universidad Nacional de Tumbes,Tumbes,Tumbes,1
"Escuela Nacional Superior de Arte Dramático ""Guillermo Ugarte Chamorro""",Lima,Lima,1
Universidad Nacional Amazónica de Madre de Dios,Madre de Dios,Madre de Dios,1
Universidad Nacional José María Arguedas,Apurímac,Apurímac,1
Universidad Nacional Santiago Antúnez de Mayolo,Áncash,Áncash,1
Universidad Científica del Sur S.A.C.,Lima,Lima,1
Universidad Andina Néstor Cáceres Velásquez,Puno,Puno,1
Escuela Superior de Música Pública José María Valle Riestra de Piura,Piura,Piura,1
Universidad Nacional Autónoma de Huanta,Ayacucho,Ayacucho,1
Universidad Nacional de Cañete,Lima,Lima,1
Academia Diplomática del Perú Javier Pérez de Cuellar,Lima,Lima,1
Escuela Superior de Formación Artística Sérvulo Gutiérrez Alarcón de Ica,Ica,Ica,1
"Escuela Superior de Arte Dramático ""Virgilio Rodríguez Nache""",La Libertad,La Libertad,1
Universidad Nacional Intercultural Fabiola Salazar Leguía de Bagua,Amazonas,Amazonas,1
Universidad Nacional de Ucayali,Ucayali,Ucayali,1
Universidad Nacional Daniel Alcides Carrión,Pasco,"Junín,Pasco",2
Universidad Peruana Cayetano Heredia,Lima,Lima,1
Universidad Nacional Autónoma de Tayacaja Daniel Hernández Morillo,Huancavelica,Huancavelica,1
Universidad Nacional de Ingeniería,Lima,Lima,1
Escuela Superior de Música Pública Francisco Pérez Anampa,Ica,Ica,1
Universidad Señor de Sipán S.A.C.,Lambayeque,Lambayeque,1
Universidad para el Desarrollo Andino,Huancavelica,Huancavelica,1
"Conservatorio Regional de Música del Norte Público ""Carlos Valderrama""",La Libertad,La Libertad,1
Universidad Nacional Tecnológica de Lima Sur,Lima,Lima,1
Universidad Nacional de Educación Enrique Guzmán y Valle,Lima,Lima,1
Universidad Nacional Autónoma Altoandina de Tarma,Junín,Junín,1
Universidad La Salle,Arequipa,Arequipa,1
Universidad María Auxiliadora S.A.C.,Lima,Lima,1
Instituto Superior de Música Público Acolla-Jauja-Junín,Junín,Junín,1
Universidad Nacional de Frontera,Piura,Piura,1
Universidad Nacional Pedro Ruiz Gallo,Lambayeque,Lambayeque,1
Universidad Nacional de Cajamarca,Cajamarca,Cajamarca,1
Universidad Nacional Jorge Basadre Grohmann,Tacna,Tacna,1
Universidad Privada del Norte S.A.C.,Lima,"Cajamarca,La Libertad,Lima",3
Universidad Marcelino Champagnat,Lima,Lima,1
"Escuela Superior de Formación Artística Pública ""Ernesto López Mindreau""",Lambayeque,Lambayeque,1
Universidad Nacional de Juliaca,Puno,Puno,1
Escuela Nacional Superior Autónoma de Bellas Artes del Perú,Lima,Lima,1
Universidad Tecnológica de los Andes,Apurímac,"Apurímac,Cusco",2
Universidad Nacional Intercultural de la Amazonía,Ucayali,Ucayali,1
"Escuela Superior de Formación Artística Pública ""Francisco Laso"" de Tacna",Tacna,Tacna,1
Universidad Nacional Federico Villarreal,Lima,Lima,1
Escuela Superior de Guerra Aérea,Lima,Lima,1
Escuela de Posgrado Newman S.A.C.,Tacna,Tacna,1
Universidad Nacional de San Agustín de Arequipa,Arequipa,Arequipa,1
Universidad Nacional Intercultural de Quillabamba,Cusco,Cusco,1
Universidad Jaime Bausate y Meza,Lima,Lima,1
"Escuela Superior Autónoma de Bellas Artes ""Diego Quispe Tito"" del Cusco",Cusco,Cusco,1
Universidad Nacional Intercultural de la Selva Central Juan Santos Atahualpa,Junín,Junín,1
Universidad José Carlos Mariátegui,Moquegua,Moquegua,1
Universidad Nacional Autónoma de Alto Amazonas,Loreto,Loreto,1
Universidad Nacional del Santa,Áncash,Áncash,1
Escuela de Postgrado Gerens S.A.,Lima,Lima,1
Universidad Autónoma de Ica S.A.C.,Ica,Ica,1
Universidad Nacional Micaela Bastidas de Apurímac,Apurímac,Apurímac,1
Universidad Nacional de San Cristóbal de Huamanga,Ayacucho,"Ayacucho,Cusco",2
Universidad Privada de Trujillo,La Libertad,La Libertad,1
Instituto Superior de Música Público Daniel Alomía Robles de Huánuco,Huánuco,Huánuco,1
Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas,Amazonas,1
Universidad Nacional de Barranca,Lima,Lima,1
Universidad Nacional Ciro Alegría,La Libertad,La Libertad,1
Escuela Superior de Guerra Naval,Callao,Callao,1
Universidad San Pedro,Áncash,"Cajamarca,Lima,Piura,Áncash",4
Escuela Superior de Formación Artística Pública Pilcuyo - Ilave de Puno,Puno,Puno,1
Escuela Superior de Formación Artística Pública de Juliaca (ESFAP-Juliaca),Puno,Puno,1
Escuela Superior de Formación Artística Pública de Áncash (ESFAP-ANCASH),Áncash,Áncash,1
Universidad Nacional de Huancavelica,Huancavelica,Huancavelica,1
Universidad Privada de Pucallpa S.A.C.,Ucayali,Ucayali,1
Universidad Peruana del Centro,Junín,Junín,1
Universidad Alas Peruanas S.A.,Lima,"Apurímac,Arequipa,Ayacucho,Cajamarca,Cusco,Huánuco,Ica,Junín,Lambayeque,Lima,Madre de Dios,Piura,Puno,San Martín,Tacna,Tumbes,Ucayali",17
